ID,NB,ANOMALY,FULLTEXT
7519,45010,0,الحريري يحمل ثلاث جنسيات لذلك لعبوا فيه كالكرة ، وأهينت كرامة بلد بسبب تعدد جنسياته ومثله أعضاء الائتلاف السوري فمعظ
17614,65640,0,اكثرر
14864,53021,0,روحي احضري برشلونة
15913,54148,0,نطالب بالإسراع بإطلاق التعيين المركزي للعلوم على وزارة الصحة
8094,45643,0,ما الهدف من اقحام ملاحظةيعمل في قناة الميادين في بيان عن خلاف عائلي هذا بيان رسمي يصدر عن وزارة داخلية
2052,39241,0,الف عافية
11932,49801,0,ليس المبذر من يقلي دراهمهإن المبذر من ما صانا
10304,48052,0,أكره مواضيع صحتي ، للمرة الألف بعد المليار
15660,53881,0,جيعبالي كبتشينو قومي اصحي اعمليلي مش اختي منظر
10383,48138,0,احشي زعتر وزيت
662,37815,0,إنا أرسلنا إليكم رسولا شاهدا عليكم كما أرسلنا إلى فرعون رسولا المزمل
10784,48582,1,لعنت الله على ال سعود والسعوديه كافه اليد اليمنى لليهوديه عملاء شياطين
13779,51863,0,لا ارجح تفجير الداخل الايراني او دعم التظاهرات ، بل الى مزيد من العقوبات الاقتصادية بهدف تعطيل البرنامج
8512,46098,0,لن يكون عراقا بدون الاخوة الاكراد
9740,47427,0,إحترامي للحرامي صاحب المجد العصامي صبر مع حنكة وحيطة وابتدا بسرقة بسيطة وبعدها سرقة بسيطة
12255,50154,0,كلمة ضمير ظهرت في تيزر تشانيول لاجل عودة اكسو اليابانية
12163,50059,0,يارب ٓ اك ٓ تب لنآ نصيب ٓ في ٓ كل شي ٓ نحبه
3974,41231,0,يا اخي شو عم تترجوهن ليطلعو من لبنان
4398,41672,0,والله شكلك مراقب منيح
12397,50314,0,اظن كل شخص يحدد اذا يمون او لا واذا فعلا هذا قصدك اتمنى تاخذين دوره بطريقة توصيل المعلومه
9475,47146,0,بعد تصريحات غابريال تقرر استدعاء سفيرها في لتسليمه مذكرة
18074,66195,0,يب أسوء من كورونا و المشكلة انا مصابه به
8550,46141,0,بقي نجلا الحريري رهائن لدى الرياض
7782,45300,0,اتمني انك تطلعي من غزة
2748,39966,0,عيد ميلاد جرحى اناهابى باز زا يويوووووارؤوره
3263,40496,0,انا اهلاوي جدا و كنت اتمنى اشوف محمد بركات في انتخابات النادي الاهلي و اتمنى اشوف حازم امام رئيس لنادي الزمالك لعفيفي
5210,42562,0,قيل ل من هي في نظرك ؟ اجاب هي التي تعلمنا كيف ونحن وكيف ونحن
