offensive,ANOMALY,FULLTEXT
0,0,الحمدلله يارب فوز مهم يازمالك كل الدعم ليكم يارجاله ⚪🔴الدوري يازمالك  الدوري يازمالكصداره بس
0,0,فدوه يابخت فدوه يازمن واحد منكم يجيبه
1,1,يارب ياواحد يااحد بحق يوم الاحد ان تهلك بني سعود المجرمين لاجل اطفال اليمن شاركوا
0,0,هوا الحريه ياوجع قلبي عليكي يااميالله لا يحرق قلبك ويكسر بخاطرك للمره الف نقف اجلال لعظمه وقدره لين قلب الام ال…
0,0,يا بكون بحياتك الاهم يااما ما بدي اكون 🎼
0,0,اخخ ياقلببي ياهالحلقه 😩😭♥️ متعه علي بكاء علي حماس كل المشاعر داخله ببعض
0,0,والله الزول السوداني اثبت انه سابق بالتحضر عن كل العرب٤٠٪ التمثيل النسائي في المجلس التشريعي السوداني ما بعد الثوره الكلام الك ياجاره لتسمعي ياكنه  السودان سوريا الجزائر
0,0,جالس اسمع احمد قاسم يغني  احبك من كل قلبي يابلادي يايمن  حتي انا والله احب اليمن من كل قلبي احب بلادي من طرفها لطرفها  ب…
0,0,في قلبي يامغلاكوبعيني يامحلاك
0,0,يا التاج ع الراس ياالسادهيا مالك الروح وراعيها❤️
0,0,البراب عندي بيقولي بيخيروك ياكرتونه ياخمسين جنيه واستاذن يروح ياخد كرتونه 😁
0,0,اموت شوقا ولا القاكم ابدا  ياحسرتا ثم ياشوقا ويا اسفا
1,0,يالطيف ياساتر احمدوا ربكم انها مستقعده🌚كيف لو انها واقفه👌
0,0,يامريوم كل سنه وانتي طيبه ياقلبي ويا رب دايما مبسوطه كدا وعقبال العمر كله ياقمر لاڤ يو ♥️♥️♥️♥️
0,0,هلا ياحبي الاولهلا ياغايتي مشتاق
0,0,ياماجد مساعد يانائب يارجال ما يجي مثل شرواك ايت اشكوكحتي لو قالو تضخمت عندك الاموالانت ملكت من الطيب حزمه صكوك…
0,0,يازول يارائع ومهموميا مضيع ضي عينيك وراكواقف حاحاي النوميا مستف رئه الدنيا شهيقومشحتف روح الخرطوماعتصام القياده ا…
0,0,في وجودك ليه انا اكمل كلامي اعشقك من الفرح لين العنا  اشبهك في كل شي الا الاسامي ياانا ياانت ياانت انا ♥️♥️🎻
0,0,صباح الثلاثاءحبيبي ياساحر البسمه يااهلي سلطان الهيبه فلتسمع صدق اقواليهمس كلما تي انت ملك الانديه انت سيد الانديه و…
0,0,ابي يانعمتي الراحله ويا اطهر قلب ذهب بلا عوده لقد تركت فراغ بقلبي لا يسده احد رحم الله روحا هزني الحنين اليها اللهم ارحم اغلي ما فقدت
0,0,يالليله ياكئيبه ياحزينه ياثقيله عدي
0,0,الاتحاد النصريا اتهاد يااتهاد يااتهاد ياتهاد باكلك هبه هبه باكلك اكل البرشومي😂😂
1,0,فين  ياحراميه يانصابين يالصوص   ؟
0,0,ياليتكم يااهل الوفا ما تموتون و لا الردي حتي  المنايا تعافه
0,0,شهرج ياشعاع الضو في ظلماي يااخر طريقي ياحقيقي في زمن كذاب يااجمل فرج  يااكبر الابواب في تاريخ ضيقي❤️
0,0,يا عمرري يابو شعر ثاير 😭😭💛💛
0,0,هي مش هتلحق تكمل باقي طلباتها عشان هتكون يافي المستشفي يااما بتتغسل علشان حتي كلمه طالق مش هتسمعها من شده الغضب
0,0,يادان يابليزريان عيب كدا راعي شعورنا 😂😂💔
0,0,اللهم صفي قلوبنا واغسل ذنوبنا واستر عيوبنا وزكي نفوسنا اللهم اجعلنا ممن طاب ذكرهم وحسنت سيرتهم واستمر اجرهم في حياتهم وبعد موتهماللهم ياودود ياودود اسالك لي ولاحبتي لذه السجود ودعاء غير مردود وفرج ورحمه منك يامعبود وابعد عني وعنهم البلاء 💕
0,0,صباح الورد يابن العم يامرحبا بالغالي🌹
0,0,يا البعيد اللي هناك ياالقريب اللي هنيا💕
1,0,شخصيه خياليه ممحونه حقوق المماحين  انسان حقيقي ممحون ياممحون ياحيوان تعال اقطع لك زبك حتي لو جحر فار تبغا تنيكو ياممحون قال نفسي اتمتع قال
0,0,اصعد ياصوت الشعب اصعد ياحبيب الشعب اسقاط القروض لليوم
0,0,مش دي برضه اللي قالت ياصغنونه ياصغنونه بكره نابك يجي علي شونه 😂😂
1,0,ياجدعان العلق دا لسه بيقولي هذاكر الاسئله كفايه  وراح فتح تويتر  يافاشل  يافاشل يافاشل يافاشل 😂😂
1,0,اعلامي هلالي وش ترجي منه اي والله الي قال محمد العويس حراق🔥🔥حارق قلبك يازقان ياالمطيويع من حرق عساه للحرق يارب جعلني اشوف فيك يوم اسود انت وعائلتك ياابن الكلب
0,0,يا مذهله مدري يابنت النورغيبتك ما ملت مكابرها ؟ طال السفر ياحبي المغروروصلتي اشواقي  لاخرهاترا الصبر والموعد المهجوريقتل هوي النفس ومشاعرهاانتي قصيده بكت الجمهوروشلون اجل سوت بشاعرها💛💛
0,0,ما شاء الله تبارك الله عساك عالقوه يابطل وللافضل يارب
1,0,هما بيعملوا ايه      انت ياحيوان انت يااطررش انا بسقط هنا
1,0,انت والتيم بتاعك ياعبيد الفولورز ياسفلهاهلي كمل الصداره
1,1,يالبناني يافضلات الاستعمار الفرنسي اللبنانين بالخليج يشغلون نسوانهم عاهرات
0,0,كل حركه  كل همسه  كل فكره كل نيه  كل كلمه  كل لحظه حتتسجل ف كتاب ومحسوبه ياعلينا يالنا  لازم نستوعب انه ورانا الكثي…
0,0,يا كبر الفقد ويا قله الحيله 💔
0,0,ياافنان يانفسيه عيب عليك
0,0,اشرس مشكل بتاريخ لبنان علي الجديد😂😂لك شو هالاسمو لك روح يايا يايا روح يا😂😂 لهون وبس
0,0,ف ياربي يارحمن تجمع شملنا قبل الممات ولو بيوم واحد
0,0,امي احبك ياحبه الرمان ياالسما الزرقاء الصافيه يااجمل ما في الوجود يامن حضنها امن وامان واطمئنان لا حرمني الله منك ابدا ياسبب سعادتي وعافيتي وبهجتي لولاك ما كان لحياتي معني احبك واتمني رضاك عني
0,0,المفروض يكون الشوق عادل يايمر القلبين ياانو ولا واحد
0,0,واياك يارب ويسعدك ياداليا ❤❤
0,0,تذاكر ياهانم  تذاكر يابيه   بالكلمات   باداء خيالي ل عبير الشاذلي
0,0,ياقدس يامدينه الاحزان يا دمعه كبيره تجول في الاجفان من يوقف العدوان ؟  عليك يالؤلؤه الاديان من يغسل الدماء عن حجاره الجدران ؟  من ينقذ الانجيل ؟  من ينقذ القران ؟
0,0,ايش الاكل الحلو ذا ياسميه تسلم يدك ياعسل ياقشطه ياحلوه ياسكره ياطباخه يافنانه ياكل شي💛
0,0,ياتسامح وتنسي ياتعاتب وتصفي ياتغور وتخفي👌💛
0,0,يا ام العيون الخجلا يانبض صدر نجد العذيه 🌿
1,0,فين ياابن القحبه يامعرص السودان مش هيعملوا اي شي من مخططكم هاهاهاهاها ولسه ياخونه
1,0,حقيقي ✋️ حلو انك ميجيش فيك اجوان عشان متخسرش   ده بديهي يعني بس حرفيا الزمالك بيطلع دين امي قدام ومش حلو نفضل ماشين بمبدا يانكسب يانتعادل المهم منخسرش
0,0,الحقهم يامهدي  الحقهم يامهدي  الحقهم يامهدي  الحقهم يامهدي  الحقهم يامهدي  الحقهم يامهدي  الحقهم يامهدي 😁😁🐒…
0,0,لازم تراعو مشاعر الناس اللي بمليون مود ف الدقيقه اللي يابتتكلم كتير يابتسكت خالص اللي ممكن يومهم يتقفل بكلمه اللي اقل حاج…
0,0,انا هالفتره يانايمه يافيني نوم يابنام
0,0,اه كدب وتزوير لان الحكم جه علينا وعليكوا احسب كوره اغادير واحسب كوره ابراهيم حسن هنتاهل ب اطرد علاء واطرد قصاده اللاعب رقممش حراق برضه يانمس انت يانمس مال الحكم والمخرج بقي بتاهل الزمالك المستحق او الغير مستحق
1,0,بطلو انانيه ياشعب ياانصرافي ويلا علي صفوف عيشكم وبنزينكم
0,0,صباح الخير يامصحصح ياعسل ياورد متفتحانا ابي نهاري خير قلت برقمك اتصبحصباح الاثنين
0,0,كملنا سنتين مع بعض يااجمل اقداري يااجمل ماحصل بدنياي ياحاجه ضوت سنين عمري سنتين وانا عايشه بالهنا كملنا سنتين بحلوها💙
0,0,الله عليكي الله يابنت مصر يامقاتله ياشريفه
0,0,ورجعت الصداره لزعيمها يا رب تمم يارب تمم يارب تمم
0,0,يا اجمل الايام يايوم الخميسيا اروع واجمل يوم بعيون الملايا دره الاسبوع ياليوم النفيسالكل بقدوم يرحبيا هلاهلا بالخميس
1,1,عليك لعنه الله يافتنه الفتنه اشد من القتل انت محرض من النوع الاخوانجي سلمان الحزم سلمان الانسانيه سلمان من دمر كم يااخوانجي ياشيعي ياابن موزه عاش سلمان الحزم عاش عاش ملك العرب
0,0,يا وصفه الحب يادكتوري وطبي💘
0,0,🌹🌸 ياامين الله ياشمس الهدي  ياامام الخلق يابحر الندي 🌸🌸 عجلن عجل فقد طال المدي  واضمحل…
0,0,ياما قالو الهوا غلاب  ولا مره حسبنا حساب  نبعد ياهوي ياهوي ياهوي 🖤
0,0,يا من اسمه دواء وذكره شفاء وطاعته غني ارحم من راس ماله الرجاء وسلاحه البكاء ياسابغ النعم يادافع النقم يانور المستوحشين في الظلم ياعالما لا يعلم صل علي محمد وال محمد صباح الخير
0,0,يابعد هالدنيا يامجيد ❤️❤️
0,0,صبحت بالخير يارمش اتذري به ياقلب احبه ولا لي عن طريقه مفرر
0,0,ياابا الحسن ياعلي بن الحسين  يازين العابدين يابن رسول الله ياحجه الله علي خلقه…
1,1,اولا ياابن الشرموطه السعوديه  ليش تتكلم مصري  يمكن امك ناكها حارس العماره المصري جنبكم مسكينه مبس داعس علي وجوهكم ياكلاب يابدو يامعفنين تبي فلوس علي تاكلكم من عرق طيزها هه  والله لاجيك ياابن الشرموطه البدويه لانيكك واحشي كس
1,0,يابجم ياعجم يانجم كلنا فالهوا سوا
0,0,ربي ياقابض ياباسط يامعطي ارزقني رزقا واسعا عاجلا غير اجل وهب لي من لدنك ملكا ورزقا تذهل به الاعين وتفرح له الانفس وتذك…
0,0,صاحباتي واقاربي اللي من نفس عمري وعايشين ومستقرين برا  المنكوبه   عايشين حياتهم وينك ياسفر ياسياحه ياتجارب ياتعليم يالغات عايشين عمرهم بجد وبكل تجاربه حبحزنخساره    الا انا   نقعد نحسب امتي بتصير حرب تانيه  ؟  من بيخش علي من ومن بيطهر ويحرر من  ؟  قعدت في نفس الدوامه
0,0,ده احنا حاجه فظيعه ياشيخه ياساتر علينا 🤣🤣
0,0,يا مبتدا يامنتهي  يااخري يااولي💙
0,0,فز ياخفاق واهدا ياشعورواحتفظ في كل وقتك بالوقار لو يفوح العود الازرق بالبخورولو يذكرك المسا شوق النهارفيك لا ي…
0,0,اليورباليغ بياخذه ياارسنال ياتشيلسي خذها مني وتاهلنا للرابع مابيكون له فايده
1,0,يعني ما افهم حقيقي تضاربوا يعني خلاص حنكون زيهم ؟  حفلهم كان بقاعه والاهالي كلهم موجودين واحنا بمدرسه وبس شخص واحد ياام يااخت تجي معك واحس يارب انك تلعنها اذا حتي علي الاشياء الحلوه تنكد علينا فيها الجزمه
0,0,انفروا يارجال الله ياكل واثقندحر العاصفه ياعز قوم اصيلهفي زمان الكرامه بل وكشف الحقايقبا نخوض المعارك…
1,0,يا تري مخبيلنا ايه ياچون سنو انت والكلبوبه اللي جنبك دي
1,1,شكلك فرحان ياعبدالرحمن يااخي انت يهودي ولا ايش ملتك مستحيل تكون مسلم
0,0,بلوك يابرنس ياخويا ومالوا مش عيب 😀
0,0,واحد يسال لبنانيه ايش اسمك قالت يارا ياسين  وانته شو اسمك قال ياحاء ياجيم😂😂🏃🏃من الامراض التي ليس لها علا
1,0,يااوباما ياجبان ياعميل الامريكان 😂
0,0,ياساتر ياساتر ياساتر
0,0,يا تكون قد الحياه ياتعيش وحيد وسط الدروب❤💔
0,0,اهل اول  يافل ياكادي ياكمل
0,0,بقيلك قلقانه وانت تفوت تنام  ياسلام علي حبك ياسلام
0,0,يا علاج الروح ياغايه فوادي🖤
1,1,هل مازال يوجد مدنيون بعد قتلكم لهم وتدمير بيوتهم ياقتله ياعملاء ياماجورين ياعبيد الامارات ومصر والس…
0,0,يا صباح الخير ياصباح الحب ياصباح الربيع💛😎عيش الان
0,0,اواه ياضحكتك  واواه ياظنيكم مره قلت ما احبه وانا احبه
1,0,اسحب مارسيال وعطنا لوكاكو ياسولشاير يابزر يازق
0,0,صباح الخير يامصر صباح الخير ياام الدنيا
0,0,ياهند ياقمر وانتي طيبه ياحياتي 💖💖وانا كمان والله مبسوطه اني عرفتك جدا
0,0,ربنا معانا كلنا ويهديكي ويصلح حالك ياسوما يابنت ام سوما ⁦😂
0,0,احلي فاصل يافيصل واحلي سلطنه ياسلطان💔💔الشباب
1,0,معاد يمديك تغيرين الموضوع هه ياسلقه ياحمير 🦓 طبعا بدري عليك تفهمين وش قصدي 💦الخلا
0,0,من صورته تخاف دول وجيوش  مهيب زربتن متجمعه وسط قمامه عز يااميرنا ياامير الشباب حارقهم وجايب لهم غصه حي ذا الراس
1,0,مسلسل سقوط ايه ياايمن ياكاشف ياخول
0,0,يوه ياالقوه ياالنيلو عقبال كل المواد❤️
1,0,الله ياخذك يااليغري ياجبان ياحمار
0,0,الله يرحمك ويغفرلك ياامي يااطيب واحن قلب كان في الدنيا 💔
0,0,بعد اذنك ياشيخنا ياريت تفسير ل   قهر الرجال   اكثر  وجزاك الله عنا كل خير
0,0,صباحكم ورد يا صباح الورد يا ورد الصباح ياصباح فيه روحي هايمه عجلي فزي تري كلي جراح وش يفيد الصبح وانت…
0,0,يالهوي يالهوي يالهوي بقي ♥️ قنبله حب 🙈♥️
0,0,استودعتك اللهم نفسي واهلي واحبتي وجميع ما وهبتني واعطيتني في امانتك وحفظك ياخير حافظ ويا ارحم الراحمين
0,0,ما ادري اقول ياحظه بالرياضولا ياحظ الرياض فيه ❤️❤️❤️
0,0,يا معاليك  يااستاذ يابش مهندس يامواطن ياحضره المسؤول     لايمتي السكوت اذا خايفين يبطلوا يستوردو من عنا انا بغطي النقص بميزان التجاره     بس احكو كلمه عالقليله
1,0,يا ديفيد يالويز ياخول
0,0,يا رب يخليكي ياست الكلويجعل ختام اليوم انتصار زمالكاوي ونفرح كلنا ان شاء الله 🌹🌹
0,0,ياهلي ياروح داري ياشموخي ياعلوي يابقائي يا ازدهاري احبك  الله يديمك ولا يحرمنا منك 🤴🏻♥️
0,0,ياكل عمري ياابتهاجي يافرحييا من نبض لاجله خفوقي بالاضلاع ♥️
0,0,تصرفاتي في الحياه  يااجي كلي مندفعه يااختفي تماما الوسطيه اسمع عنها بس ماحصل لي شرف لقاءها حتي الان
0,0,يا ليلي ياليلا ليه النفس بقت شايله 😂😂
0,0,اه يااتي يااتي يازين اه يااتي ياضي العينينجده تغنت واطربت يافرحها شعارك البراق زاد بحسنهااتحاد العب واحنا لك سند 💛💛الاتحاد النصر
0,0,يا ريم ياسارحقلبي معك رايحتري الهوا جارححرام تجافينا
0,0,قلن ياقمر ما نسينا ياقمر روح قلن
1,0,ياراشد يامقرف ياجبان للاسف هذه تسمي خسه من شخص احمق
0,0,يا كم مرو علي ياغاليه غالينما هم ب كرام بس مرو مرور اكرام
0,0,ياوليفي وميلافي ياجر الونه ودقه عود
0,0,يا انا سخيفه ياالفيديوات صج تضحك😂😂
0,0,ازاي ياحبيبي ياعمري يااغلي الناس في عنيا  ؟
0,0,ياجماعه ياجامع يارقيب
0,0,كوفيان با  ظهور  حسينعو ما با  غيبت  تو امتحان شديم   براستي كداميك سخت تر است ؟   ظهور ياغيبت  ؟ العجل يامولا…
1,0,يا نعلي ياحضي لسود 🖤
0,0,يا فرحتي ياسلوتي ياضحايا
0,0,يارحيم ياكريم ياقوي يامتين ياعليم ياقدير يامن لا اله غيره ياحي ياقيوم
0,0,انا هنا شبيت ياوطني زيك ما لقيت ياوطني انا بفخر بيك ياوطنيبالروح افديك ياوطني❤️💚🖤❤️💚🖤
0,0,مهو ياتلعبو بروح التيشرت ياتمشوالاهلي مبيوقفش ع حدكان وقف ع صالح سليم وتريكه والخطيب كان وقف ع كتيرر💪✊👏👑❤ ال…
0,0,مبروك يارجال مبروك ياكبير مبروك ياعميد وفالكم البقاء 🖤💛
0,0,نزلت امبارح وشكلي مش هروح تاني اه ياضلوعك يارضا بموت 😭
0,0,يا الخرطوم ياالعندي جمالك جنه رضوان طول عمري ما شفت مثالك في اي مكان
0,0,امواج عاليه تحاول زحزحه شموخك يابغداد خونه ومارقين عملاء حاقدين فاسدين كلهم من طينه الغدر والخيانه ولكن هيهات ان تسلمي وتركعي امام هولاء الانذال صباح الخير ياعراق صباح الورد يابغداد صباح الانوار علي قلب كل انسان نقي اسعد الله صباحكم احبتي
0,0,حبيبي ياعلاء يابن الغالي والغاليه
0,0,ياابو ثلاثه ياابو ثلاثه سري الليل ياابو ثلاثه  الاتحاد النصر
0,0,يايزيد يايزيد ما شاءلله عليك ♥️
1,0,ياريت ياوحشين يابتوع الحوارات ياكلاب
0,0,قويه فيهم ناس كويسه ياعيت ملائكه انتو ياطيبين يامتحضرين يانيويوركين يلي مافيش زيكم
0,0,والله من انزه الحكام لكن هم اذا حكم ما يصفر لهم  يكون مرتشي حسب رايهم ياتكون معانا ياتكون مرتشي…
0,0,يا حسافه الفرحه يابيب 😂😂
0,0,اللهم ياالله  لا تتركني ياالله اتبع شيئا ليس لي ؛ واحب شيئا لا تحبه  لا تجعلني احلم بما اشاء ؛ ولكن اجعلني احلم بما ش…
1,0,الاخوان المسلمين في السودان واقفين مع الجيش وبيدعموه تاني يازكي تاني ياهايف ياتافهبالملليميتر ياحبيبي
1,0,تفو عليك يابقره يانعال ياواطي يامنحط
1,0,من انتم ياحشرات ياعديمي الاصل والاخلاق لتقسموا البشر بطريقتكم الغبيه هذا ان دل يدل علي انكم بلا اصل ولذلك تششكون في اصول الناس وتودون ان كل الناس تصبح مثلكم بلا اصل لكي لا تكونوا الوحيدون
0,0,اه ياقصر المسافه ويا طول تعبيو الهبوب ان فرع الجرح جمره كاويه اتطوي كني القاع لا هجهج ظبيكل ما اصرد بعيني تضيق الزاويه
