ANOMALY,FULLTEXT
1,الوزير جبران باسيل تاج راسك ياجربان ممنوع بعد اليوم المساس بمقدساتنا من ربنا والهنا يسوع المسيح
0,صديقي انت ابن جامعه اللعبه اكبر من داعش اللعبه سنيه شيعيه واعاده توزيع ديموغرافي بسوريا
0,و مصلحه لبنان تبدا باستخراج النفط والغاز لوقف الشحاده وهذه نقطه ضعف لبنان ليبقي رهن سياسات اقليميه و…
1,وليد جنبلاط كاتب الحكمه ياقذر
1,شو بتلبقلك كلمه خنزير بتجي مفصله علي قياسك وشكلك
0,يا جبران باسيل يامعلم ياريس ياستاذ بدك حضن سوريا روح لعندون مبروك علك سلفا هالحضن انما الحلم لعبتحلمو عدمنا مراح يصير
1,ما سمعنا جعاركم مبارح علي القصف الاسرائيلي يلي اغتصب سماء سوريا  نباح وعويل جيش ابو شحاطه وصل لقبرص
0,نصيحه احكي مع الرئيس ميشال عون او هاجم جبران باسيل مليار دولار جابو من قطر شكرا قطر
1,صافي يابقر
1,لا تعتب عليه هيدا اسمه ابو صرماي
1,لو الدوله تحترم نفسها كان انت يالبلطجي في السجن
0,مش عم يناموا الليل ليقدمولنا حكومه
1,يا عيبو عليكي يايران عم تحوي ارهابين تعلمي من السعوديه درسيهم عندك وبعتيهم لبرا
0,هل تعرف مامعني ان تدفع دوله نص مليار دولار لدوله اخري مترنحه اقتصاديا وكانت تستطيع ان تستثمرهم…
1,قنبله ذزيه يروحو فيها الاثنين معا افضل حل
0,مش جاي لعندك وعلي دوله الخلفك وفيك تفل اذا مش عاجبك
0,لو فعلا في دوله حضرتك كنت بالحبس هلق بس للاسف
0,اوف السيد حسن يثبت صدق علاقته مع جبران باسيل بويكيليكس يلي خاطبوا اميركا بالعلن وبالسر خطاب اخر
0,يستاهلوا
1,لا شرطي روسي يابن الستين كلب
0,في مثل هذا اليوم وقبل ست سنوات قام تنظيم الدوله البراميليه بذبح الاطفال والنساء بالسكاكين وحرق بعضهم احياء في بانياس لم…
1,ليش بتنطرب وبتسكر لمن بتجيب سيره الحذاء يازلمي مع ان كل واحد بفش خلقو ع ذوقو حسب مفهومو ثقافتو وعقلو…
0,هيئتك ياويئو اكل سمك ومتقل الليله لهيك عم بتكوبس باللواء عثمان لهيك تغطا منيح بس تنام احسن ما تاخد برد
0,فضح الفاسدين مسؤوليه كل مواطن شريف
0,متظاهر افريقي في باريس يقول يعيش بشار الاسد شكور ربك مش عبتتظاهر بسوريا كان سفقك برميل جابك بافريقيا
0,الامير طلال حبيب قلبنا وبيمون عاكتر من هيك
1,نص اللبناني من راي انت يارمز الغبا هه
0,ما الغريب الا الشيطان معقول بتستخفوا بعقول مناصرينكن بانه شيخ عقل حطوا عقل الرحمن براسكن وما الكن ال…
0,هلق شو علي مين انضغط منشان تشكيل الحكومه
0,علاء الخواجه هوي الي شتري البلد وضمير بعض سياسي البلد
0,هيدا حساب فخامه الرئيس ميشال عون ام حساب فخامه جبران باسيل
1,يا عيب لشوم عليك ياكركوز
0,لو دوله تحترم نفسها كنت انت ما عم تحكي ولا عم تزت سمك ولا عم تبعت رسايل لو وله بتحترم نفسها كنت محبوس…
1,سمج سميك زنخ كمخه
0,هيد الشعب مش بحاجه لاموالكم هيد شعب بحاجه لضمائركم الغائبه
1,عزيزي وئام هل يجوز نهاد ان يتركك حرا ام يجب سجنك يابوق الفتنه
1,نتمني من فخامه الرئيس متابعه هذه القضيه ف عماد عثمان مجرم
0,يسعد صباحك معالي الوزير
1,قليل بحقه الحذاء
1,كول هوا ياخنزير الخنازير الصهاينه نهايتهم للدعس تفه
1,انشالله عن قريب لازم بقي ينشد هالفار وينرمي بشي زريبه
1,جبران باسيل رجل شرير
1,عاهر بكلامو بس معلمك شو
0,انا بس شوف نديم وامثالو كيف بيحكو عن جبران باسيل بتاكد اكتر انو جبران باسيل عم يشتغل صح
0,كان الله بعونك وبعون الي دافع عنك
0,بظن من هلا ورايح ومن بعد ما سمعتو السيد شو حكي عن صدق جبران باسيل كل واحد من يلي بيقولو عن حالن جمهور المقاومه…
0,نحن نثق بال قضاء اللبناني
0,بدا ثوره علي حطوا روبورتاج صغير عن جبران باسيل وانهوه بجمله ما تكون متل جبران
1,عقبال يغرقوا التنين بالمجارير
0,درس في التاريخ
1,انشالله يضلل حصرمه بعينك وعين غيرك جبران باسيل قرفت سما الله تبعنا انشالله بضلل مقهور وبضلل جبران با…
0,بلبنان منخبر ومنقول الحقائق كما هي لا اعتقد ان عمليات الاغتيال قامت بها الدوله او ج…
1,كول هوا ابو وجهك
0,بربحك جميل من كيسك انو ناوي يعمل شغلو
1,عم احكي عن الجعفري يابهيمه نظام الجعفري قتل نص مليون وهجر نص الشعب حرفيا لانه طلعوا مظاهرات ضده وبعدين بتقلي اني انا يلي ما بفهم باداب الحوار  ؟   بهيمه بتجيب المسبه لحالها شو بدنا نقول 🤷🏻‍♂️😂
0,الوزير جبران باسيل وزير لبناني فقط لا غير
1,بالرغم من صفاقه جبران باسيل وكلامه الثقيل الذي لا يمثل سياسه لبنان الرسميه ولا يمثل اكثريه الشعب اللبناني الا ان العتب…
0,وهاب بعد زيارته الغريب لقاء خلده مهمته داخليه درزيه وليس موجها ضد احد لبنان
1,كثروا المنافقين اصحاب المصالح  هاذا اكبر كلب لايران في لبنان  تابع هالفديوا وتعرف هالمرتزق …
1,اكل الهوي للواطي دواء الله يشفيك
1,لا كل الثوار كلاب متل النظام هيك جمله سهل قولها وما بتوجع الراس وبتريحك من كتير وجع راس وتفكير الكل كلاب ليش اهتم او ادعم طرف  ؟
