ANOMALY,FULLTEXT
1,اه يافاشل افتخر ولا يهمك لانك انسان انتهازي حقير  تابع للسفاحين والموالين  والسفله ولولا تكن تشبههم لما افتخرت بهم مبروكين عليك لانه وعلي قول المثل اللي متلك روح لعندو
1,ما شبعت بعد لحوست سرامي ولك طلال
0,عمل تويت عم يسال عن جدوي شيطنه جبران باسيل قاموا شيطنوا الو وما خلوا اتهام وما اتهموا فيه
0,عم يشتغل لابن زايد هلق مجبور
0,اكثر ثلاث كلمات متداوله من الاكثر للاقل باسيل جبران الوزير
0,غصبن عنك وعن امثالك كلام وزير خارجيه لبنان جبران باسيل بيمثل السياسه الرسميه للدوله حبيت او ما حبيت مشكلتك
1,كول هوا ياعرص
1,مين قلك ما ناسر بي ومين قلك ما تفجر بيتي  ؟   ومين قلك انه عم باخد رايك بالاساس  ؟    ؟   كول هوا وقحط من صفحتي وبدل ما تتكامخ
0,وئام وهاب يشتم يتيم المجد
1,بس ياهبيله بس
0,اسم الله عليك شعلت زكا
0,جبران باسيل مسيحي خيب ظن ابناء دينه وجلدته من المسيحين اللبنانين بجميع طوائف المسيحيه
1,حيوان هوي وحذبو معودين عالزحف والتزقيف
0,حما الله لبنان وشعب لبنان العظيم
0,اكدت اوساط الرئيس الحريري ان الامور تتجه نحو الانفراج بعد قبول جبران باسيل ب  حل وسط بالنسبه الي ممثل اللقاء
0,ضيعان الفهم يادكتور
0,الله يطول عمرك يامعلم يابن معروف لاصل
1,دخلك انت بتعرف معلمك باي مجرور من مجارير الضاحيه مخبي ف خراس
0,يا ريت نصف السياسين في لبنان بيحكوا مثل جبران باسيل
1,ماحدا حمار غيرك وغير ملكك هل بغل يابن الستين صرمايه جاي من ورا الابل والغنم وبدك تحكي خراس وسد تمك احسن مادعس رقبتك يلعن شرفك
0,انا براي هناك فرصه الان لنذهب بالطائفه الي بر الامان بوجود توافق درزي علهم يفهمون
0,باسيل اذا ارادت اسرائيل حفظ امنها وهذا حقها
0,مشكله الوطن بسوء الانتماء وتغليب المصالح الخاصه
1,هنن اعتقلو وانتم قتلتهم في كوباني وعامودا نسيت ولا اذكرك ياطشم
1,بن جدو الكلب شو بده يطلع منه
0,يعني نشوب حرب ببلدك دليل علي عدم وجود قياده حكيمه في سوريا
0,كيف بتبهدل حالك ب تلات حركات جيب جبران باسيل وعملو وزير الخارجيه ويطلع يتحفنا بافكاره دوليا مش بس محليا
0,اكبر جريمه ارتكبها السياسين اللبنانين هو اختيار ميشيل عون رئيسا للبنان
