ID,NB,ANOMALY,FULLTEXT
4194,41460,0,المؤتمر الأول ل في لا للتطبيع الخليجي نعم لمقاطعة ضد التطبيع
3539,40785,0,نتمنى حظا موفقا للهلال في نهائي دور ابطال اسيا
3214,40445,0,مباركة أدخرها الله سبحانه ذخرا لهذا و غيور وكريم خطت أجمل عبارة نصر ورسمت أفض
5669,43057,0,لا الآه الا انت سبحانك اني كنت من الظالمين
7790,45308,0,موطني موطني الجلال والجمال والسناء والبهاءفي رباكوالحياة والنجاة والهناء والرجاءفي
15278,53465,0,هازاارد
7133,44595,0,ربما غدا او بعد غد ربما بعد سنين لا تعد ربما ذات مساء نلتقي في طريق عابرمن دون قصد ربما
6501,43932,0,ثم اني بومة لا أبتسم إلا لعدسة الكاميرا
7666,45166,0,عدد سكان ما حدا بفكر فيك
13273,51308,0,مونتيلا إنها ليلة تاريخية ، أنا سعيد لفوزنا الليلة ووصولنا لربع نهائي دوري الأبطال لأول مرة
1259,38427,0,من مكر الأسباب لمحاربة الحق ، حارب بها نفسه وكذلك جعلنا في كل قرية أكابر مجرميها ليمكروا فيها وما يمكرون إلا بأنفسهم
1833,39014,1,ال سعودلك فشرتوا بنص عينكن آل سعود داعسين ع راس اللي خلفوكن روح الطموا وتمتعوا يلعن الرضيع الشيعي
5665,43052,0,المال والبنون زينة الحياة الدنيا
15622,53839,0,يعني أمها إذا بدك ترمي البنت ليش تغلبي حالك وتحمليها أشهر وتتحملي خطية إنسان حيكون بلا هوية ليش ما أجهضتيها
4925,42254,0,غياب هذه الثقافة تزيد من حالة التقوقع الذي نحن فيه
8372,45941,0,سخيف
7317,44791,0,ليس الصديق بمن يعيرك ظاهرا متبسما عن باطن متجهم
8954,46583,0,نحنا مهم تكون انت مرتاح مش يكون بالك مشغول على باقي من اولادك الله يكون معك ويفك ازمتك
1796,38977,0,الناس اللي بتحب ريحة البنزين والمناكير والاسيتون والبويا هدول ناس راقيه جدا انا هيك ريتا
3997,41255,0,عندي فوبيا من مليون حاجة
8508,46093,0,تعا ولا تجي
17657,65688,0,جونغكوك شي ، سأقاضيك بتهمتي السرقة والخطف سرقة قلبي وخطف أنفاسي
16433,55517,0,اللواء متقاعد عبدالله القحطاني المملكة دائما تتعامل مع كل الدول الإسلامية بنفس المنهج وهو التعاون لإيجاد علاقات
11093,48912,0,ايوه غلابه
5205,42557,0,كن مؤدبا في حزنك حامدا في دمعتك أنيقا في ألمك فالحزن كالفرح هدية من رب العبادسيمكث قليلا ثم يعود إلى ربه حاملا معه
11255,49087,0,نسبة الامية في اليمن من المنازل في المدن اليمنية من تراب نسبة الفقر في اليمن بلد انتاجه الصناعي معظمه م
10719,48509,0,يسعد قلبك حبيبتي
5412,42777,0,بمزيد من الفخر و الإعتزاز تزف المقاومة الإسلامية أمير من أمرائها و فارسا من فرسانها و الذي ضحى بنفسه دفا
4283,41553,0,حماس حركة واحدة لا تقبل التجزئة ولا التقسيم ولا الأقاليم لكن قرارها في النهاية قرار شوري جماعي وليس قرار هنية والسنوار
2771,39990,0,يعني شاركنا باليمن طب كيف لكن بدون ينتقمو منا اليمنيين اذا كنا بصفن
11975,49848,0,تريدونه ملتقى نفاق عربي لا وفاق عربي ، لكن هيهات انتم اضعف مما تظنون و نحن اقوى مما تظنون
15054,53226,0,انت الضلع لمثلثي والباقي زوايا غازل حسب اختصاصك
16531,55673,0,قيادة تحالف دعم الشرعية في اليمن القوات المشتركة للتحالف تعترض وتدمر ستة صواريخ بالستية أطلقتها المليشيا الحوثي
12281,50183,0,تم تأكيد حضور لحفل وسيقومون بأداء اغنية تعاونهم مع تشين
16764,56090,0,الحزن لا يستمر تكررت هذه القاعدة مرارا ، فقط أخشى في كل مرة أن يكسر الحزن القاعدة ويستمر للأبد باعتبار ان لكل قاع
12041,49918,0,حوارات القاهرة ثلاث جلسات بلا نتائج راديو بانوراما
13647,51719,0,نحن لا نخسر الأشياء الجميلة إلا حينما نريدها بشدة
11736,49595,0,اخيرا قابلت مصطفى كيم اوفر في اسطنبول
3805,41058,0,المشكلة تيجي تقلهم الحقيقة يزعلون معذورين ما شافو الاصفر ايام ما كان يجلد بره وجوه
13560,51625,0,الكويت إيقاف قياديين في وزارة الداخلية وإحالتهم إلى النيابة العامة
2208,39402,0,العبد الدوني عمرو لا يتربى تفرشلو الدنيا جنة و ماكش مليح
13987,52093,0,معلومة مراكز أغنية في المخططات للوقت الحالي ميلون جيني منت نيڤر سوربادا بقز
12011,49886,0,اللسان ليس عظاما لكنه يكسر العظام
3842,41095,0,طيور الحمام في سماء المسجد مسائكم أمل قروب فلسطيني جزائسطين فلسطينيون
2380,39579,0,محتاج سفرة شهرين علبنان وشهرين على تركيا وشهرين على
544,37694,0,عندي كمية نشاط اليومين هادول مش طبيعية
15833,54061,0,أضفت فيديو إلى قائمة تشغيل على الاغنية الاجنبية
3978,41235,0,على سبيل الحب والجوع من كتر ماني مفلس صرت اقرأ كلمة ١٥٧٤ ليرة مين متلي مفلس ؟؟ تاغ للشريك سهرة سعيدة من الإخباري
4383,41657,0,وربطنا على ٰ قلوبهمقد يخونك قلبك أثناء السير فتتعثر في الطريق ، وقد يتسرب نور الإيمان من قلبك فيظلم
12365,50278,0,اللهم صل علئ وابيها وبعلها وبنتيها عدد ما احاط به علمك
14235,52363,0,سكة السلامة فووووووق
17511,65527,0,شنو ما شايف تعايش قبل ؟ التعايش بس باسرائيل
12812,50775,0,سمراء من عرين الليل تفتح خدها وارتوى الكحل من زهور رمشها و انحنى العمر في رحيق حسنها ما بين الشفاه ت
8994,46631,0,لكن لا ادري لم أميل الى جرير
2692,39908,0,الحمدلله ربي عارف لك
8394,45965,0,إعلان قصص نبوية بأسلوب تربوي جديد
1860,39041,0,الجدي عنده استعداد وسط الضوضاء ووسط الزحام ان يبقى محافظ على هدوئه وعزلته
6149,43562,0,الى جهنم وبئس المصير
10031,47755,0,اي في
2900,40122,0,ستوقع الكاتبةهندمطرروايتهاالجديدةالثالثةهذيان امرأة عاشقةبجناح الدار العربيةللعلوم بمعرض الكويت للكتاب والروايةم
8859,46479,0,وسلمو علي محمدصلت عليك جبال مكة كلهامابث للرحمن حزنا باكياصلى عليك الوحي أنت حملتهغضا طريا للبريه صافيا
3670,40920,0,حبيبى انا خارجه مع ساره صحبتى لا مفيش خروج الو ايوه يا ساره عدى عليا نخرج سوا دا صدق نفسه
16802,56159,0,قيل لأبي بكر الكتاني البغدادي إيش الفائدة في مذاكرة الحكايات ؟ فقال الحكايات جند من جنود الله ، يقوي بها أبدان المري
14488,52633,0,ليو ليو ماذا تفعل في البلووووز يلاااا لايف نقل المباراة ايفون
4233,41503,0,فجأه ايه مانا لسه قايلالك الصبح
1757,38938,0,دور جوة ذاتك
5062,42401,0,ربنا يرحمك يا حبيبي ادعو ل بابا
16147,54412,0,انه شو يعني حرية تعبير ؟ كذب هي حرية انتقائيةبطولة ؟ بالعكس هي قمة الجبن طالما عم تستقوي بفرض
11273,49106,0,طيبة نحن طلبة وخريجي كلية العلوم في كافة محافظات العراق نطلب من حظرتكم المساند
10052,47777,1,فبركات قناة الجزيرة باتت مكشوفة ولا تخفى على أحد والخونة المرتزقة صهاينة العرب وترك أردوغان واذنابهم
5948,43350,0,هذا العالم يحتاج إلى نفس عميق يا صديقي عميق جدا ثم سماعة أذن وسورة من القرآن بصوت هادئ
11523,49368,1,كل زق انت واليهودي القطري
13379,51425,0,لحظه كدا هو فيه تسجيلات ؟
10748,48545,0,أقصر رجل في العالم هو الهندي جول إذ أنه لا يتجاوز طوله أكثر من إثنين و ستين سنتيمترا
15545,53758,0,أجلس متكورا على نفسي تحت الخزانة هذا هو بيتي منذ سنوات لا أذكر عددها كل صباح أستيقظ و أدعو الله ألا يكشف أمري ل
14160,52283,0,اه شو بعرفك بأفكار و خطط السبيشال ون
11102,48921,0,لحظة كل الي حصل ده و تقوليلي لحظة ف سنين راحت يختي
16251,54524,0,لن نشعر بجمال الدنيا حتى نرتدى ألوان الفرح ولن نشعر بالسعادة حتى تنبض قلوبنا بها فلنستبدل ذكريات الألم بحقيبة ا
14069,52180,0,لسع ما لحقتي تصلي البيتصرتي منزله مادار بالحلقه يادكتوره بسمه ؟
4058,41318,0,احن اليك يا وطني
14796,52949,0,تبدأ المسلسلات بالسعادة و لكن تنتهي بأحزان
7684,45186,0,امس واليوم وباجر يله تكدر تكلهم تفضلوا لا تنسى الضيف يسأل بعد ثلاث
16152,54417,0,شركة أبل بالامس اطلقت هاتف ايفون ومن مميزات هذا الهاتف يا صديقي أنه لا يمكنك شراؤه
15165,53348,0,لو استنوا شوي وحلوا مشاكلهم بالاخرة
1005,38164,0,اروع انسانه واطيب قلب ، الله يبعتلي زوجه بنفس عقلها وتفكيرها
7125,44587,0,هذا ما يحمله طقس الأيام المقبلة عواصف وأمطار وثلوج
